"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
406157,"02310","W0626","Koski (2310)",29-8-2007 8:31:39,29-8-2007 9:31:39,14.62,61.46,578.99,6817421.12,1437263.54,546.43,10.80,"3D",6,"No",3.54,3.62,26.00,2,"F"
406158,"02310","W0626","Koski (2310)",29-8-2007 9:00:32,29-8-2007 10:00:32,14.62,61.46,577.79,6817311.34,1437320.50,545.24,7.40,"3D",5,"Yes",3.56,3.62,30.00,2,"F"
406159,"02310","W0626","Koski (2310)",29-8-2007 9:33:00,29-8-2007 10:33:00,14.63,61.46,576.61,6817311.46,1437433.81,544.06,17.60,"3D",4,"No",3.54,3.62,28.00,2,"F"
406160,"02310","W0626","Koski (2310)",29-8-2007 10:01:15,29-8-2007 11:01:15,14.63,61.46,575.29,6817326.40,1437436.64,542.74,2.00,"2D",5,"No",3.54,3.62,21.00,2,"F"
406161,"02310","W0626","Koski (2310)",29-8-2007 10:31:23,29-8-2007 11:31:23,14.63,61.46,580.68,6817366.06,1437473.85,548.13,9.40,"3D",5,"Yes",3.58,3.64,22.00,2,"F"
406162,"02310","W0626","Koski (2310)",29-8-2007 11:01:26,29-8-2007 12:01:26,14.63,61.46,580.98,6817407.68,1437574.45,548.44,3.40,"3D",4,"No",3.54,3.64,26.00,2,"F"
406163,"02310","W0626","Koski (2310)",29-8-2007 11:31:06,29-8-2007 12:31:06,14.63,61.46,578.12,6817348.52,1437662.87,545.58,4.20,"3D",7,"Yes",3.56,3.62,27.00,2,"F"
406164,"02310","W0626","Koski (2310)",29-8-2007 12:01:45,29-8-2007 13:01:45,14.63,61.46,579.09,6817272.54,1437598.20,546.55,2.40,"3D",6,"Yes",3.54,3.64,28.00,2,"F"
406170,"02310","W0626","Koski (2310)",29-8-2007 15:01:55,29-8-2007 16:01:55,14.66,61.44,577.37,6814468.29,1438947.72,544.90,4.00,"2D",4,"No",3.52,3.62,19.00,2,"F"
406171,"02310","W0626","Koski (2310)",29-8-2007 15:30:52,29-8-2007 16:30:52,14.67,61.44,579.43,6814592.64,1439756.82,547.00,2.60,"3D",6,"Yes",3.54,3.64,20.00,2,"F"
406172,"02310","W0626","Koski (2310)",29-8-2007 16:00:23,29-8-2007 17:00:23,14.67,61.44,599.76,6814665.80,1439777.63,567.33,2.00,"3D",8,"Yes",3.56,3.62,24.00,2,"F"
406173,"02310","W0626","Koski (2310)",29-8-2007 16:30:15,29-8-2007 17:30:15,14.68,61.43,583.64,6814304.49,1440247.32,551.23,4.20,"3D",6,"Yes",3.56,3.62,23.00,2,"F"
406174,"02310","W0626","Koski (2310)",29-8-2007 17:01:57,29-8-2007 18:01:57,14.68,61.43,593.35,6814045.14,1440302.09,560.94,6.60,"3D",6,"Yes",3.52,3.62,21.00,2,"F"
406175,"02310","W0626","Koski (2310)",29-8-2007 17:31:24,29-8-2007 18:31:24,14.68,61.43,611.04,6813716.88,1440229.77,578.63,4.60,"3D",6,"Yes",3.54,3.62,20.00,2,"F"
406176,"02310","W0626","Koski (2310)",29-8-2007 18:01:22,29-8-2007 19:01:22,14.68,61.43,647.76,6813309.49,1440174.84,615.36,9.80,"3D",5,"Yes",3.54,3.62,19.00,2,"F"
406177,"02310","W0626","Koski (2310)",29-8-2007 18:31:40,29-8-2007 19:31:40,14.68,61.42,647.44,6813031.89,1440057.16,615.03,3.40,"3D",5,"Yes",3.52,3.62,18.00,2,"F"
406178,"02310","W0626","Koski (2310)",29-8-2007 19:01:49,29-8-2007 20:01:49,14.68,61.42,645.27,6813070.10,1440134.39,612.87,4.80,"2D",3,"No",3.54,3.62,19.00,2,"F"
406179,"02310","W0626","Koski (2310)",29-8-2007 19:31:41,29-8-2007 20:31:41,14.68,61.42,639.02,6813085.47,1440272.89,606.62,4.80,"3D",5,"Yes",3.54,3.62,18.00,2,"F"
406180,"02310","W0626","Koski (2310)",29-8-2007 20:02:24,29-8-2007 21:02:24,14.68,61.42,637.86,6813091.83,1440269.43,605.46,3.00,"2D",3,"No",3.54,3.64,15.00,2,"F"
406181,"02310","W0626","Koski (2310)",29-8-2007 20:31:42,29-8-2007 21:31:42,14.68,61.42,623.93,6813082.01,1440261.47,591.53,3.80,"3D",5,"Yes",3.56,3.64,17.00,2,"F"
406182,"02310","W0626","Koski (2310)",29-8-2007 21:00:54,29-8-2007 22:00:54,14.68,61.42,625.91,6813088.75,1440266.01,593.51,2.60,"3D",5,"Yes",3.58,3.64,18.00,2,"F"
406183,"02310","W0626","Koski (2310)",29-8-2007 21:32:09,29-8-2007 22:32:09,14.68,61.42,624.46,6813085.03,1440271.50,592.06,3.00,"2D",3,"No",3.58,3.66,16.00,2,"F"
406184,"02310","W0626","Koski (2310)",29-8-2007 22:01:15,29-8-2007 23:01:15,14.68,61.42,624.54,6813085.01,1440264.22,592.14,2.20,"2D",3,"No",3.58,3.64,15.00,2,"F"
406185,"02310","W0626","Koski (2310)",29-8-2007 22:31:55,29-8-2007 23:31:55,14.68,61.42,623.20,6813089.59,1440262.41,590.80,1.80,"2D",3,"No",3.56,3.68,16.00,2,"F"
406186,"02310","W0626","Koski (2310)",29-8-2007 23:01:06,30-8-2007 0:01:06,14.68,61.42,627.25,6813092.59,1440263.68,594.85,3.00,"3D",5,"Yes",3.58,3.68,16.00,2,"F"
406187,"02310","W0626","Koski (2310)",29-8-2007 23:32:15,30-8-2007 0:32:15,14.68,61.42,624.45,6813089.35,1440265.31,592.05,1.60,"2D",4,"No",3.58,3.68,18.00,2,"F"
406188,"02310","W0626","Koski (2310)",30-8-2007 0:01:20,30-8-2007 1:01:20,14.68,61.42,628.81,6813087.65,1440263.30,596.41,4.40,"3D",4,"No",3.58,3.68,18.00,2,"F"
406189,"02310","W0626","Koski (2310)",30-8-2007 0:30:52,30-8-2007 1:30:52,14.68,61.42,637.77,6813104.59,1440266.38,605.37,3.80,"3D",6,"Yes",3.60,3.68,19.00,2,"F"
406192,"02310","W0626","Koski (2310)",30-8-2007 2:01:45,30-8-2007 3:01:45,14.68,61.42,638.16,6813084.87,1440277.00,605.76,3.20,"2D",3,"No",3.58,3.68,18.00,2,"F"
406193,"02310","W0626","Koski (2310)",30-8-2007 2:31:48,30-8-2007 3:31:48,14.68,61.42,627.36,6813079.73,1440270.86,594.96,6.00,"3D",5,"Yes",3.58,3.68,21.00,2,"F"
406194,"02310","W0626","Koski (2310)",30-8-2007 3:00:42,30-8-2007 4:00:42,14.69,61.42,612.39,6812871.05,1440507.41,580.00,5.60,"3D",5,"Yes",3.58,3.68,17.00,2,"F"
406195,"02310","W0626","Koski (2310)",30-8-2007 3:30:23,30-8-2007 4:30:23,14.69,61.42,582.42,6812543.59,1440499.41,550.04,4.80,"3D",5,"Yes",3.58,3.68,15.00,2,"F"
406196,"02310","W0626","Koski (2310)",30-8-2007 4:00:53,30-8-2007 5:00:53,14.69,61.42,585.07,6812525.38,1440546.46,552.69,5.60,"3D",5,"Yes",3.56,3.68,14.00,2,"F"
406197,"02310","W0626","Koski (2310)",30-8-2007 4:08:40,30-8-2007 5:08:40,14.69,61.42,577.92,6812521.79,1440545.43,545.54,6.80,"3D",5,"Yes",3.52,3.68,16.00,2,"F"
406198,"02310","W0626","Koski (2310)",30-8-2007 4:09:09,30-8-2007 5:09:09,14.69,61.42,580.51,6812525.39,1440546.00,548.13,7.00,"3D",5,"Yes",3.52,3.68,16.00,2,"F"
406199,"02310","W0626","Koski (2310)",30-8-2007 4:10:17,30-8-2007 5:10:17,14.69,61.42,574.28,6812520.12,1440544.43,541.90,7.20,"3D",5,"Yes",3.54,3.68,16.00,2,"F"
406200,"02310","W0626","Koski (2310)",30-8-2007 4:11:31,30-8-2007 5:11:31,14.69,61.42,577.53,6812520.35,1440549.27,545.15,7.40,"3D",5,"Yes",3.52,3.68,16.00,2,"F"
406201,"02310","W0626","Koski (2310)",30-8-2007 4:12:08,30-8-2007 5:12:08,14.69,61.42,573.77,6812518.93,1440547.31,541.39,7.60,"3D",5,"Yes",3.52,3.68,16.00,2,"F"
406202,"02310","W0626","Koski (2310)",30-8-2007 4:13:20,30-8-2007 5:13:20,14.69,61.42,573.82,6812516.75,1440546.77,541.44,7.80,"3D",5,"Yes",3.54,3.68,16.00,2,"F"
406203,"02310","W0626","Koski (2310)",30-8-2007 4:14:13,30-8-2007 5:14:13,14.69,61.42,568.28,6812514.48,1440540.67,535.90,8.00,"3D",5,"Yes",3.52,3.68,17.00,2,"F"
406204,"02310","W0626","Koski (2310)",30-8-2007 4:21:12,30-8-2007 5:21:12,14.69,61.42,571.43,6812519.05,1440546.60,539.05,2.00,"3D",6,"Yes",3.52,3.68,17.00,2,"F"
406205,"02310","W0626","Koski (2310)",30-8-2007 4:22:05,30-8-2007 5:22:05,14.69,61.42,588.54,6812514.78,1440548.58,556.16,3.00,"3D",6,"Yes",3.54,3.68,17.00,2,"F"
406206,"02310","W0626","Koski (2310)",30-8-2007 4:23:08,30-8-2007 5:23:08,14.69,61.42,590.42,6812515.50,1440549.55,558.04,3.60,"3D",5,"Yes",3.54,3.68,17.00,2,"F"
406207,"02310","W0626","Koski (2310)",30-8-2007 4:24:18,30-8-2007 5:24:18,14.69,61.42,588.42,6812510.81,1440549.68,556.04,2.20,"3D",6,"Yes",3.52,3.66,17.00,2,"F"
406208,"02310","W0626","Koski (2310)",30-8-2007 4:25:08,30-8-2007 5:25:08,14.69,61.42,588.30,6812511.05,1440548.72,555.92,2.00,"3D",7,"Yes",3.54,3.68,17.00,2,"F"
406209,"02310","W0626","Koski (2310)",30-8-2007 4:26:13,30-8-2007 5:26:13,14.69,61.42,589.05,6812511.76,1440547.77,556.67,3.20,"3D",6,"Yes",3.54,3.66,17.00,2,"F"
406210,"02310","W0626","Koski (2310)",30-8-2007 4:27:09,30-8-2007 5:27:09,14.69,61.42,594.32,6812504.27,1440543.16,561.94,3.20,"3D",6,"Yes",3.54,3.68,17.00,2,"F"
406211,"02310","W0626","Koski (2310)",30-8-2007 4:32:59,30-8-2007 5:32:59,14.69,61.42,587.33,6812492.13,1440535.84,554.95,2.40,"3D",6,"Yes",3.52,3.68,18.00,2,"F"
